"account_id","post_id","Category","Page","Post.URL","Date.Published","Post.Type","Rating","Debate","share_count","reaction_count","comment_count"
146422995398181,1447988215241646,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1447988215241646","2016-09-20","link","mostly true","",658,1929,390
346937065399354,1245696502190068,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1245696502190068","2016-09-19","photo","no factual content","",12984,19513,3204
62317591679,10153843387416680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153843387416680","2016-09-20","link","mostly true","",13,154,26
62317591679,10153841432376680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153841432376680","2016-09-19","link","mostly true","",80,194,90
146422995398181,1450664601640674,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1450664601640674","2016-09-22","link","mixture of true and false","",1150,3348,710
135665053303678,551617598375086,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/551617598375086","2016-09-19","link","mostly true","",5,27,3
346937065399354,1247448632014855,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1247448632014855","2016-09-21","video","no factual content","",1088995,456458,159047
184096565021911,1037782196320006,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1037782196320006","2016-09-22","video","no factual content","",38,138,32
114517875225866,1463842313626742,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1463842313626742","2016-09-21","video","mostly true","",NA,1840,31
62317591679,10153863675936680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153863675936680","2016-09-27","link","mostly true","",3,12,1
184096565021911,1036251303139762,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1036251303139762","2016-09-20","link","mostly true","",1,23,15
62317591679,10153850382801680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153850382801680","2016-09-22","link","mostly true","",43,241,135
62317591679,10153849803586680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153849803586680","2016-09-22","link","mostly true","",294,860,369
184096565021911,1042362422528650,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1042362422528650","2016-09-27","link","mostly true","",1,19,3
346937065399354,1247555975337454,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1247555975337454","2016-09-21","video","mostly true","",25546,17971,2173
219367258105115,1286975518010945,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286975518010945","2016-09-23","link","mostly true","",101,927,87
184096565021911,1041488142616078,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041488142616078","2016-09-26","link","mostly true","",10,82,6
184096565021911,1041543859277173,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041543859277173","2016-09-26","link","no factual content","yes",228,447,147
62317591679,10153852478271680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153852478271680","2016-09-23","link","mostly true","",362,3419,222
62317591679,10153851288686680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153851288686680","2016-09-23","link","mostly true","",268,565,103
62317591679,10153846905681680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153846905681680","2016-09-21","link","mostly true","",52,427,266
389658314427637,1536278733098917,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1536278733098917","2016-09-22","link","mixture of true and false","",465,3996,109
62317591679,10153843878971680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153843878971680","2016-09-20","video","mostly true","",12,180,33
62317591679,10153861370391680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153861370391680","2016-09-26","video","mostly true","yes",13,108,57
346937065399354,1252629544830097,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1252629544830097","2016-09-26","link","mixture of true and false","",14507,55692,4068
219367258105115,1281841091857721,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1281841091857721","2016-09-19","video","mostly true","",465,4084,3299
389658314427637,1534618096598314,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1534618096598314","2016-09-21","link","mixture of true and false","",1292,1969,586
389658314427637,1533416976718426,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1533416976718426","2016-09-19","link","mixture of true and false","",748,1417,71
184096565021911,1037188766379349,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1037188766379349","2016-09-21","text","mostly true","",2,5,2
219367258105115,1286584094716754,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286584094716754","2016-09-23","link","mostly true","",206,1879,499
62317591679,10153846330326680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153846330326680","2016-09-21","link","mostly true","",1,18,17
219367258105115,1285166408191856,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285166408191856","2016-09-22","link","mostly true","",38,171,72
219367258105115,1282289901812840,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1282289901812840","2016-09-19","video","mostly true","",119,1687,2877
135665053303678,552024685001044,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552024685001044","2016-09-20","link","mostly true","",2828,1537,612
62317591679,10153863798951680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153863798951680","2016-09-27","link","mostly true","",7,57,12
184096565021911,1038114256286800,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1038114256286800","2016-09-22","link","mostly true","",7,181,28
62317591679,10153861377906680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153861377906680","2016-09-26","video","mostly true","yes",14,116,54
62317591679,10153863707481680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153863707481680","2016-09-27","link","mostly true","",90,1225,186
135665053303678,552791901590989,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552791901590989","2016-09-22","link","mostly true","",13,59,7
389658314427637,1536113469782110,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1536113469782110","2016-09-22","link","mostly true","",239,1042,26
146422995398181,1456040647769736,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1456040647769736","2016-09-26","video","no factual content","",NA,1152,124
184096565021911,1036611373103755,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1036611373103755","2016-09-20","link","mostly true","",NA,12,4
219367258105115,1285466798161817,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285466798161817","2016-09-22","link","mostly true","",23,80,110
389658314427637,1534822329911224,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1534822329911224","2016-09-21","link","mostly true","",1248,2246,754
62317591679,10153845038751680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153845038751680","2016-09-20","photo","mostly true","",4,38,22
62317591679,10153847778051680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153847778051680","2016-09-21","link","mostly true","",6,55,18
146422995398181,1449601135080354,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1449601135080354","2016-09-21","link","mostly true","",390,1449,273
389658314427637,1540162639377193,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1540162639377193","2016-09-26","link","mostly true","",13,97,7
135665053303678,552242808312565,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552242808312565","2016-09-21","link","no factual content","",149,318,337
62317591679,10153840981211680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153840981211680","2016-09-19","link","mostly true","",18,223,80
146422995398181,1457297090977425,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1457297090977425","2016-09-27","link","mostly true","yes",1040,4425,135
184096565021911,1041497742615118,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041497742615118","2016-09-26","video","mostly true","yes",66,55,25
146422995398181,1451262981580836,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1451262981580836","2016-09-23","link","mixture of true and false","yes",2426,5873,1021
62317591679,10153858968651680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153858968651680","2016-09-26","link","mostly true","",9,273,113
219367258105115,1281863361855494,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1281863361855494","2016-09-19","video","mostly true","",787,3147,1511
219367258105115,1286826111359219,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286826111359219","2016-09-23","link","mostly true","",90,728,238
114517875225866,1466093066735000,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1466093066735000","2016-09-22","link","mixture of true and false","",9664,8836,507
389658314427637,1536363749757082,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1536363749757082","2016-09-22","link","mostly true","",91,506,152
146422995398181,1451200324920435,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1451200324920435","2016-09-22","link","mixture of true and false","",NA,1265,577
184096565021911,1038804176217808,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1038804176217808","2016-09-23","link","mostly true","",9,74,21
135665053303678,552196998317146,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552196998317146","2016-09-21","photo","no factual content","",292,300,4
135665053303678,554126961457483,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554126961457483","2016-09-26","link","mostly true","",2,27,1
62317591679,10153845133901680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153845133901680","2016-09-20","link","mostly true","",26,702,116
